Feature,Coefficient,Std. Error,t-value,p-value,[0.025,0.975]
const,0.5205832376484512,0.07570441646920933,6.876524011781847,2.2148078871517998e-10,0.3708324191035596,0.6703340561933427
nr_pix,-0.014489081421052197,0.004572431033957672,-3.168791680715884,0.0019025213738803083,-0.023533801954017657,-0.005444360888086738
rows_with_1,-0.019637854111576047,0.010183533491099057,-1.9283929422670985,0.05595324163736243,-0.03978188991682724,0.0005061816936751465
cols_with_1,0.10682158116494615,0.015247697654270117,7.00575152964361,1.13325627518959e-10,0.07666012809330583,0.13698303423658648
rows_with_3p,0.02281655918605205,0.01275835862805615,1.788361642059309,0.07601154060730465,-0.002420735240723712,0.04805385361282781
cols_with_3p,0.11902507367632799,0.014502918240248066,8.206974052023071,1.7901691446397546e-13,0.0903368679010399,0.14771327945161608
connected_areas,-0.061004142021948496,0.01909921743855858,-3.1940650038775873,0.0017545537382601837,-0.09878428191846682,-0.023224002125430174
eyes,0.03582517595134789,0.05364931181075797,0.6677658061620109,0.5054489340612356,-0.0702984656105515,0.14194881751324728
